fdc_id,measure_unit_id,amount,gram_weight
167763,9999,1.0,120.0
167763,9999,1.0,2.0
167764,9999,1.0,257.0
167765,9999,1.0,154.0
167765,9999,1.0,152.0
167765,9999,1.0,4518.0
167765,9999,1.0,286.0
167765,9999,10.0,122.0
167765,9999,1.0,280.0
167766,9999,1.0,5.0
167767,9999,1.0,181.0
167767,9999,1.0,195.0
167767,9999,1.0,162.0
167767,9999,1.0,26.0
167768,9999,1.0,219.0
167768,9999,1.0,182.0
167769,9999,1.0,168.0
167770,9999,1.0,179.0
167771,9999,1.0,248.0
167771,9999,1.0,31.0
167772,9999,1.0,244.0
167773,9999,1.0,255.0
167774,9999,1.0,247.0
167774,9999,1.0,196.0
167775,9999,1.0,239.0
167775,9999,1.0,29.9
167776,9999,1.0,140.0
167776,9999,1.0,152.0
167776,9999,1.0,177.0
167776,9999,1.0,227.0
167777,9999,1.0,126.0
167777,9999,1.0,157.0
167777,9999,1.0,223.0
167777,9999,1.0,140.0
167778,9999,1.0,140.0
167778,9999,1.0,159.0
167778,9999,1.0,179.0
167778,9999,1.0,219.0
167779,9999,1.0,140.0
167779,9999,1.0,172.0
167779,9999,1.0,202.0
167779,9999,1.0,242.0
167780,9999,2.0,36.0
167782,9999,0.5,114.0
167783,9999,0.5,114.0
167784,9999,1.0,251.0
167785,9999,1.0,251.0
167786,9999,1.0,251.0
167787,9999,1.0,249.0
167787,9999,1.0,31.4
167788,9999,3.0,11.1
167789,9999,1.0,112.0
167789,9999,3.0,9.8
167790,9999,1.0,120.0
167791,9999,1.0,233.0
167791,9999,1.0,209.0
167792,9999,8.0,246.0
167793,9999,1.0,109.0
167793,9999,1.0,236.0
167793,9999,1.0,192.0
167793,9999,1.0,158.0
167794,9999,1.0,249.0
167794,9999,1.0,31.1
167795,9999,8.0,240.0
167796,9999,1.0,275.0
167797,9999,1.0,252.0
167798,9999,1.0,230.0
167799,9999,1.0,233.0
167800,9999,6.0,177.0
167800,9999,10.0,295.0
167801,9999,1.0,15.0
167801,9999,1.0,5.2
167802,9999,1.0,15.0
167802,9999,1.0,5.0
167803,9999,0.25,70.0
167804,9999,0.25,70.0
167805,9999,8.0,248.0
167807,9999,1.0,269.0
167807,9999,1.0,31.5
167810,9999,1.0,28.35
167810,9999,1.0,453.6
167811,9999,4.0,113.0
167811,9999,1.0,453.6
167812,9999,4.0,113.0
167812,9999,1.0,453.6
167813,9999,1.0,28.35
167813,9999,4.0,113.0
167814,9999,4.0,113.0
167814,9999,1.0,453.6
167815,9999,1.0,135.0
167815,9999,3.0,85.0
167816,9999,4.0,113.0
167816,9999,1.0,453.6
167816,9999,1.0,3952.0
167817,9999,3.0,85.0
167817,9999,1.0,3027.0
167818,9999,4.0,113.0
167818,9999,1.0,117.0
167819,9999,3.0,85.0
167819,9999,1.0,89.0
167820,9999,3.0,85.0
167820,9999,1.0,87.0
167821,9999,3.0,85.0
167821,9999,1.0,89.0
167822,9999,4.0,113.0
167822,9999,1.0,263.0
167823,9999,3.0,85.0
167823,9999,1.0,206.0
167824,9999,3.0,85.0
167824,9999,1.0,219.0
